columns,mtime,name,path,rows,size_bytes
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""known_pa_names"", ""unknown_pa_names"", ""open_label"", ""known_label_map"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_metric"", ""best_val_acc"", ""best_val_macro_f1"", ""best_val_dqn_proxy_softmax3"", ""best_val_dqn_proxy_expanded5"", ""val_open_source"", ""n_val_open"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""test_pmax_auroc"", ""test_p1p2_auroc"", ""test_entropy_auroc"", ""test_energy_auroc"", ""test_logit_variance_auroc"", ""test_softmax3_mean_auroc"", ""test_expanded5_mean_auroc"", ""test_dqn_proxy_softmax3"", ""test_dqn_proxy_expanded5"", ""test_known_pmax_mean"", ""test_open_pmax_mean"", ""test_known_p1p2_mean"", ""test_open_p1p2_mean"", ""test_known_entropy_mean"", ""test_open_entropy_mean"", ""val_softmax3_mean_auroc"", ""val_expanded5_mean_auroc"", ""val_dqn_proxy_softmax3"", ""val_dqn_proxy_expanded5"", ""n_train"", ""n_val"", ""n_test_known"", ""n_test_open"", ""test_open_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""label_smoothing"", ""entropy_loss_weight"", ""mlp_dropout"", ""class_weight_mode"", ""grad_clip_norm"", ""scheduler_name"", ""early_stopping_mode"", ""open_conf_selection_metric"", ""epochs"", ""seed"", ""source_type"", ""source_name"", ""dataset_tag"", ""noise_tag"", ""available_checkpoints""]",1777499398.2556808,confmanifold_coarse_leaderboard.csv,local_artifacts/generated_tables/confmanifold_coarse_leaderboard.csv,32,32301
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""known_pa_names"", ""unknown_pa_names"", ""open_label"", ""known_label_map"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_metric"", ""best_val_acc"", ""best_val_macro_f1"", ""best_val_dqn_proxy_softmax3"", ""best_val_dqn_proxy_expanded5"", ""val_open_source"", ""n_val_open"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""test_pmax_auroc"", ""test_p1p2_auroc"", ""test_entropy_auroc"", ""test_energy_auroc"", ""test_logit_variance_auroc"", ""test_softmax3_mean_auroc"", ""test_expanded5_mean_auroc"", ""test_dqn_proxy_softmax3"", ""test_dqn_proxy_expanded5"", ""test_known_pmax_mean"", ""test_open_pmax_mean"", ""test_known_p1p2_mean"", ""test_open_p1p2_mean"", ""test_known_entropy_mean"", ""test_open_entropy_mean"", ""val_softmax3_mean_auroc"", ""val_expanded5_mean_auroc"", ""val_dqn_proxy_softmax3"", ""val_dqn_proxy_expanded5"", ""n_train"", ""n_val"", ""n_test_known"", ""n_test_open"", ""test_open_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""label_smoothing"", ""entropy_loss_weight"", ""mlp_dropout"", ""class_weight_mode"", ""grad_clip_norm"", ""scheduler_name"", ""early_stopping_mode"", ""open_conf_selection_metric"", ""epochs"", ""seed"", ""source_type"", ""source_name"", ""dataset_tag"", ""noise_tag"", ""available_checkpoints""]",1777523040.3789644,confmanifold_refined_leaderboard.csv,local_artifacts/generated_tables/confmanifold_refined_leaderboard.csv,64,61915
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_acc"", ""best_val_macro_f1"", ""test_loss"", ""test_acc"", ""test_macro_f1"", ""test_weighted_f1"", ""test_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""epochs"", ""seed""]",1776873549.8794973,experiment_leaderboard.csv,local_artifacts/generated_tables/experiment_leaderboard.csv,2,813
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_acc"", ""best_val_macro_f1"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""epochs"", ""seed""]",1776900312.0740576,osr_backbone_bank_leaderboard.csv,local_artifacts/generated_tables/osr_backbone_bank_leaderboard.csv,48,12589
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""known_pa_names"", ""unknown_pa_names"", ""open_label"", ""known_label_map"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_metric"", ""best_val_acc"", ""best_val_macro_f1"", ""best_val_dqn_proxy_softmax3"", ""best_val_dqn_proxy_expanded5"", ""val_open_source"", ""n_val_open"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""test_pmax_auroc"", ""test_p1p2_auroc"", ""test_entropy_auroc"", ""test_energy_auroc"", ""test_logit_variance_auroc"", ""test_softmax3_mean_auroc"", ""test_expanded5_mean_auroc"", ""test_dqn_proxy_softmax3"", ""test_dqn_proxy_expanded5"", ""test_known_pmax_mean"", ""test_open_pmax_mean"", ""test_known_p1p2_mean"", ""test_open_p1p2_mean"", ""test_known_entropy_mean"", ""test_open_entropy_mean"", ""val_softmax3_mean_auroc"", ""val_expanded5_mean_auroc"", ""val_dqn_proxy_softmax3"", ""val_dqn_proxy_expanded5"", ""n_train"", ""n_val"", ""n_test_known"", ""n_test_open"", ""test_open_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""label_smoothing"", ""entropy_loss_weight"", ""mlp_dropout"", ""class_weight_mode"", ""grad_clip_norm"", ""scheduler_name"", ""early_stopping_mode"", ""open_conf_selection_metric"", ""epochs"", ""seed"", ""source_type"", ""source_name"", ""dataset_tag"", ""noise_tag"", ""available_checkpoints""]",1777652143.864759,ota_btzb_leaderboard_pa8.csv,local_artifacts/generated_tables/ota_btzb_leaderboard_pa8.csv,2,2965
"[""run_name"", ""unknown_pa"", ""method"", ""known_osr_macro_f1"", ""unknown_recall"", ""unknown_f1"", ""osr_macro_f1"", ""bias_delta"", ""unknown_auroc""]",1777661137.0664413,ota_btzb_varmax_oracle_eval.csv,local_artifacts/generated_tables/ota_btzb_varmax_oracle_eval.csv,4,832
"[""backbone_tag"", ""run_name"", ""run_dir"", ""unknown_pa"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""method"", ""known_closed_acc"", ""known_closed_macro_f1"", ""known_closed_per_class_recall"", ""known_osr_acc"", ""known_osr_macro_f1"", ""known_reject_rate"", ""known_osr_per_class_recall"", ""known_osr_per_class_reject_rate"", ""known_osr_min_per_class_recall"", ""known_osr_max_per_class_reject_rate"", ""unknown_precision"", ""unknown_recall"", ""unknown_f1"", ""known_accept_rate"", ""unknown_detect_rate"", ""bias_delta"", ""osr_acc"", ""osr_macro_f1"", ""osr_confusion_matrix"", ""label_names_with_unknown"", ""unknown_auroc""]",1777533701.1211605,top_backbone_osr_eval.csv,local_artifacts/generated_tables/top_backbone_osr_eval.csv,24,17049
"[""backbone_tag"", ""run_name"", ""run_dir"", ""unknown_pa"", ""method"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""calibration_mode"", ""no_feasible_solution"", ""best_top2_threshold"", ""best_var_percentiles"", ""best_energy_percentiles"", ""best_regime"", ""best_spec_name"", ""best_heldout_class_name"", ""best_is_structure_aligned"", ""known_closed_acc"", ""known_closed_macro_f1"", ""known_closed_per_class_recall"", ""known_osr_acc"", ""known_osr_macro_f1"", ""known_reject_rate"", ""known_osr_per_class_recall"", ""known_osr_per_class_reject_rate"", ""known_osr_min_per_class_recall"", ""known_osr_max_per_class_reject_rate"", ""unknown_precision"", ""unknown_recall"", ""unknown_f1"", ""known_accept_rate"", ""unknown_detect_rate"", ""bias_delta"", ""osr_acc"", ""osr_macro_f1"", ""osr_confusion_matrix"", ""label_names_with_unknown"", ""unknown_auroc""]",1777593419.6149774,varmax_final_setup_eval.csv,local_artifacts/generated_tables/varmax_final_setup_eval.csv,36,30533
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""known_pa_names"", ""unknown_pa_names"", ""open_label"", ""known_label_map"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_metric"", ""best_val_acc"", ""best_val_macro_f1"", ""best_val_dqn_proxy_softmax3"", ""best_val_dqn_proxy_expanded5"", ""val_open_source"", ""n_val_open"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""test_pmax_auroc"", ""test_p1p2_auroc"", ""test_entropy_auroc"", ""test_energy_auroc"", ""test_logit_variance_auroc"", ""test_softmax3_mean_auroc"", ""test_expanded5_mean_auroc"", ""test_dqn_proxy_softmax3"", ""test_dqn_proxy_expanded5"", ""test_known_pmax_mean"", ""test_open_pmax_mean"", ""test_known_p1p2_mean"", ""test_open_p1p2_mean"", ""test_known_entropy_mean"", ""test_open_entropy_mean"", ""val_softmax3_mean_auroc"", ""val_expanded5_mean_auroc"", ""val_dqn_proxy_softmax3"", ""val_dqn_proxy_expanded5"", ""n_train"", ""n_val"", ""n_test_known"", ""n_test_open"", ""test_open_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""label_smoothing"", ""entropy_loss_weight"", ""mlp_dropout"", ""class_weight_mode"", ""grad_clip_norm"", ""scheduler_name"", ""early_stopping_mode"", ""open_conf_selection_metric"", ""epochs"", ""seed"", ""source_type"", ""source_name"", ""dataset_tag"", ""noise_tag"", ""available_checkpoints""]",1777499398.2556808,confmanifold_coarse_leaderboard.csv,local_artifacts/handoffs/PADataset_training_handoff_20260512_035606/repo_code/confmanifold_coarse_leaderboard.csv,32,32301
"[""run_name"", ""save_dir"", ""task"", ""split_mode"", ""unknown_pas"", ""known_pa_names"", ""unknown_pa_names"", ""open_label"", ""known_label_map"", ""num_classes"", ""class_names"", ""best_epoch"", ""best_val_metric"", ""best_val_acc"", ""best_val_macro_f1"", ""best_val_dqn_proxy_softmax3"", ""best_val_dqn_proxy_expanded5"", ""val_open_source"", ""n_val_open"", ""n_val_known_balanced"", ""n_val_open_balanced"", ""test_known_loss"", ""test_known_acc"", ""test_known_macro_f1"", ""test_known_weighted_f1"", ""test_known_n_samples"", ""test_pmax_auroc"", ""test_p1p2_auroc"", ""test_entropy_auroc"", ""test_energy_auroc"", ""test_logit_variance_auroc"", ""test_softmax3_mean_auroc"", ""test_expanded5_mean_auroc"", ""test_dqn_proxy_softmax3"", ""test_dqn_proxy_expanded5"", ""test_known_pmax_mean"", ""test_open_pmax_mean"", ""test_known_p1p2_mean"", ""test_open_p1p2_mean"", ""test_known_entropy_mean"", ""test_open_entropy_mean"", ""val_softmax3_mean_auroc"", ""val_expanded5_mean_auroc"", ""val_dqn_proxy_softmax3"", ""val_dqn_proxy_expanded5"", ""n_train"", ""n_val"", ""n_test_known"", ""n_test_open"", ""test_open_n_samples"", ""cache_len"", ""batch_size"", ""lr"", ""weight_decay"", ""lambda_center"", ""label_smoothing"", ""entropy_loss_weight"", ""mlp_dropout"", ""class_weight_mode"", ""grad_clip_norm"", ""scheduler_name"", ""early_stopping_mode"", ""open_conf_selection_metric"", ""epochs"", ""seed"", ""source_type"", ""source_name"", ""dataset_tag"", ""noise_tag"", ""available_checkpoints""]",1777523040.3789644,confmanifold_refined_leaderboard.csv,local_artifacts/handoffs/PADataset_training_handoff_20260512_035606/repo_code/confmanifold_refined_leaderboard.csv,64,61915
