available_checkpoints,batch_size,best_epoch,best_val_acc,best_val_dqn_proxy_expanded5,best_val_dqn_proxy_softmax3,best_val_macro_f1,best_val_metric,cache_len,cache_root,checkpoint_tags,class_weight_mode,config_path,dataset_tag,early_stopping_mode,entropy_loss_weight,epochs,family_tag,grad_clip_norm,has_config,has_history,has_summary,history_lr_best,history_lr_last,history_lr_len,history_path,history_train_loss_best,history_train_loss_last,history_train_loss_len,history_val_acc_best,history_val_acc_last,history_val_acc_len,history_val_dqn_proxy_expanded5_best,history_val_dqn_proxy_expanded5_last,history_val_dqn_proxy_expanded5_len,history_val_dqn_proxy_softmax3_best,history_val_dqn_proxy_softmax3_last,history_val_dqn_proxy_softmax3_len,history_val_loss_best,history_val_loss_last,history_val_loss_len,history_val_macro_f1_best,history_val_macro_f1_last,history_val_macro_f1_len,known_pa_names,label_smoothing,lambda_center,lr,mlp_dropout,model_selection_metric,n_checkpoints,noise_tag,open_conf_selection_metric,paper_set,pas,protocols,result_root,run_dir,run_name,scheduler_name,seed,source_name,source_type,split_mode,summary_path,task,test_dqn_proxy_expanded5,test_dqn_proxy_softmax3,test_energy_auroc,test_entropy_auroc,test_expanded5_mean_auroc,test_known_acc,test_known_macro_f1,test_logit_variance_auroc,test_p1p2_auroc,test_pmax_auroc,test_softmax3_mean_auroc,unknown_pa_names,unknown_pas,weight_decay
,,,,,,,,,,"[""best_model"", ""history""]",,,,,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,results_pa_baseline,results_pa_baseline/22-05_04-21-26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"[""best_model""]",,,,,,,,,False,True,False,,,,results_pa_baseline/22-23_04-21-26/history.json,1.144409652763889,0.38334295068468366,10,0.9472222222222222,0.9472222222222222,10,,,,,,,0.9239906116813977,0.21627626001007028,10,0.9471478976771537,0.9471478976771537,10,,,,,,,1,,,,,,results_pa_baseline,results_pa_baseline/22-23_04-21-26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"[""best_model""]",,,,,,,,,False,True,False,,,,results_pa_baseline/22-46_04-21-26/history.json,1.1410901347086544,0.38936030048699605,10,0.9333333333333333,0.85,10,,,,,,,0.7512070380979115,0.4685252198535535,10,0.9332729081701749,0.8470508143552841,10,,,,,,,1,,,,,,results_pa_baseline,results_pa_baseline/22-46_04-21-26,,,,,,,,,,,,,,,,,,,,,,
,8,7,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/22-59_04-21-26_c8192_lr1e3_bs8_lc01_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/22-59_04-21-26_c8192_lr1e3_bs8_lc01_wd0/history.json,0.94124843336287,0.42082815993399847,15,0.9944444444444445,0.9805555555555555,15,,,,,,,0.3499996311134762,0.1327353270517455,15,0.9944437584887023,0.9805261042935303,15,,,0.1,0.001,,,1,,,,,,results_pa_baseline,results_pa_baseline/22-59_04-21-26_c8192_lr1e3_bs8_lc01_wd0,c8192_lr1e3_bs8_lc01_wd0,,0,,,closed,results_pa_baseline/22-59_04-21-26_c8192_lr1e3_bs8_lc01_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,16,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-00_04-21-26_c8192_lr5e4_bs8_lc01_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-00_04-21-26_c8192_lr5e4_bs8_lc01_wd0/history.json,0.9361917807942345,0.38587761563914164,24,0.9944444444444445,0.9861111111111112,24,,,,,,,0.2732946084605323,0.1114332558380233,24,0.9944437584887023,0.9861003861003861,24,,,0.1,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-00_04-21-26_c8192_lr5e4_bs8_lc01_wd0,c8192_lr5e4_bs8_lc01_wd0,,0,,,closed,results_pa_baseline/23-00_04-21-26_c8192_lr5e4_bs8_lc01_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,9,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-02_04-21-26_c8192_lr2e4_bs8_lc01_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-02_04-21-26_c8192_lr2e4_bs8_lc01_wd0/history.json,0.9756881353401002,0.41865388311090923,17,0.9944444444444445,0.9777777777777777,17,,,,,,,0.3549160949058003,0.12440115246507856,17,0.9944437584887023,0.9777337951509154,17,,,0.1,0.0002,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-02_04-21-26_c8192_lr2e4_bs8_lc01_wd0,c8192_lr2e4_bs8_lc01_wd0,,0,,,closed,results_pa_baseline/23-02_04-21-26_c8192_lr2e4_bs8_lc01_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,12,0.9944444444444445,,,0.9944444444444445,,8192,,"[""best_model""]",,results_pa_baseline/23-03_04-21-26_c8192_lr5e4_bs8_lc00_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-03_04-21-26_c8192_lr5e4_bs8_lc00_wd0/history.json,0.811259775644257,0.384755474896658,20,0.9944444444444445,0.9833333333333333,20,,,,,,,0.27709259175592,0.09847256077660455,20,0.9944444444444445,0.9833250988142292,20,,,0.0,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-03_04-21-26_c8192_lr5e4_bs8_lc00_wd0,c8192_lr5e4_bs8_lc00_wd0,,0,,,closed,results_pa_baseline/23-03_04-21-26_c8192_lr5e4_bs8_lc00_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,9,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-04_04-21-26_c8192_lr5e4_bs8_lc005_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-04_04-21-26_c8192_lr5e4_bs8_lc005_wd0/history.json,0.8820833430403755,0.394771637235369,17,0.9944444444444445,0.9777777777777777,17,,,,,,,0.32120941480000814,0.13914706177181668,17,0.9944437584887023,0.9777337951509154,17,,,0.05,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-04_04-21-26_c8192_lr5e4_bs8_lc005_wd0,c8192_lr5e4_bs8_lc005_wd0,,0,,,closed,results_pa_baseline/23-04_04-21-26_c8192_lr5e4_bs8_lc005_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,4,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-05_04-21-26_c8192_lr5e4_bs8_lc02_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-05_04-21-26_c8192_lr5e4_bs8_lc02_wd0/history.json,1.0419341240610396,0.44826668344792864,12,0.9944444444444445,0.9916666666666667,12,,,,,,,0.3211601633164618,0.1101401741305987,12,0.9944437584887023,0.991666409457082,12,,,0.2,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-05_04-21-26_c8192_lr5e4_bs8_lc02_wd0,c8192_lr5e4_bs8_lc02_wd0,,0,,,closed,results_pa_baseline/23-05_04-21-26_c8192_lr5e4_bs8_lc02_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,4,4,0.9888888888888889,,,0.9888882029331467,,8192,,"[""best_model""]",,results_pa_baseline/23-06_04-21-26_c8192_lr5e4_bs4_lc01_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-06_04-21-26_c8192_lr5e4_bs4_lc01_wd0/history.json,1.0144133837450118,0.4457139157113575,12,0.9888888888888889,0.9583333333333334,12,,,,,,,0.42131946641537876,0.15371406061781778,12,0.9888882029331467,0.9580419580419581,12,,,0.1,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-06_04-21-26_c8192_lr5e4_bs4_lc01_wd0,c8192_lr5e4_bs4_lc01_wd0,,0,,,closed,results_pa_baseline/23-06_04-21-26_c8192_lr5e4_bs4_lc01_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
