rank,p1,pred_name,proto_name,pa_name,shard_id,source_id,window_id,record_id,local_idx,dataset_index,cache_path
1,0.9401537179946899,PA8,wifi,PA8,20,20,39673,173,172,79617,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
2,0.9397604465484619,PA8,wifi,PA8,17,17,38202,202,201,73646,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_017__PA8.h5
3,0.9392296075820923,PA8,wifi,PA8,20,20,39781,281,280,79725,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
4,0.9387263655662537,PA8,wifi,PA8,20,20,39865,365,364,79809,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
5,0.9385616779327393,PA8,wifi,PA8,20,20,39709,209,208,79653,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
6,0.938503086566925,PA8,wifi,PA8,17,17,38010,10,9,73454,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_017__PA8.h5
7,0.9384705424308777,PA8,wifi,PA8,20,20,39752,252,251,79696,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
8,0.9384132027626038,PA8,wifi,PA8,17,17,38308,308,307,73752,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_017__PA8.h5
9,0.9384018778800964,PA8,wifi,PA8,5,5,32010,10,9,49455,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_005__PA8.h5
10,0.9383640885353088,PA8,wifi,PA8,20,20,39524,24,23,79468,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
11,0.9383544325828552,PA8,wifi,PA8,20,20,39845,345,344,79789,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_020__PA8.h5
12,0.9383352994918823,PA8,wifi,PA8,2,2,30928,428,427,43893,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_002__PA8.h5
