rank,p1,pred_name,proto_name,pa_name,shard_id,source_id,window_id,record_id,local_idx,dataset_index,cache_path
1,0.9612442851066589,PA8,wifi,PA2,9,9,4108,107,106,56052,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_009__PA2.h5
2,0.9614981412887573,PA8,wifi,PA2,19,19,9368,368,367,76312,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_019__PA2.h5
3,0.9363564848899841,PA8,zigbee,PA2,11,11,5471,471,470,100415,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/zigbee__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_011__PA2.h5
4,0.8084806799888611,PA8,zigbee,PA2,15,15,7500,500,499,108444,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/zigbee__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_015__PA2.h5
5,0.8833932876586914,PA8,bluetooth,PA2,16,16,7925,425,424,30424,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/bluetooth__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_016__PA2.h5
6,0.9328345656394958,PA8,bluetooth,PA2,2,2,628,128,127,2127,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/bluetooth__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_002__PA2.h5
7,0.8995752930641174,PA8,zigbee,PA2,5,5,2402,402,401,88346,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/zigbee__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_005__PA2.h5
8,0.9409708380699158,PA8,zigbee,PA2,7,7,3295,295,294,92239,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/zigbee__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_007__PA2.h5
9,0.9627940654754639,PA8,wifi,PA2,1,1,301,301,300,40300,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_001__PA2.h5
10,0.7947219610214233,PA4,wifi,PA2,4,4,1562,62,61,46007,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/wifi__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_004__PA2.h5
11,0.9372209310531616,PA8,zigbee,PA2,10,10,4552,52,51,97996,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/zigbee__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_010__PA2.h5
12,0.909425675868988,PA8,bluetooth,PA2,1,1,400,400,399,399,/home/atrott/adamArchives/Adam/varMax/PADataset/_feature_cache_nvme/len16384/norm/ota__ota_core_high_run01__high_run01/bluetooth__ota__ota_core_high_run01__ota_core_high_run01__high_run01__ota_core_high_run01__shard_001__PA2.h5
